GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36029000110,36029000110,"Census Tract 1.10, Erie County, New York",2733,406,2592,404,2446,412,77,77,0,123,0,123,0,123,0,123,69,71,0,123,69,71,141,78,109,70,10,15,0,123,0,123,0,123,22,34,0,123,0,123,0,123
1400000US36029000200,36029000200,"Census Tract 2, Erie County, New York",4137,350,3508,363,3195,331,127,97,0,123,108,97,0,123,0,123,78,65,16,25,62,59,629,336,297,255,0,123,0,123,0,123,0,123,314,223,18,29,18,29,0,123
1400000US36029000500,36029000500,"Census Tract 5, Erie County, New York",2090,339,2029,332,2029,332,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,61,59,61,59,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029000600,36029000600,"Census Tract 6, Erie County, New York",5238,582,4993,583,4377,528,616,551,0,123,0,123,0,123,0,123,0,123,0,123,0,123,245,238,197,232,48,59,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029000700,36029000700,"Census Tract 7, Erie County, New York",3780,355,3748,349,3704,351,0,123,0,123,0,123,0,123,13,20,31,36,0,123,31,36,32,35,20,29,0,123,0,123,0,123,0,123,12,18,0,123,0,123,0,123
1400000US36029000800,36029000800,"Census Tract 8, Erie County, New York",5132,518,4905,548,4691,514,90,146,81,85,0,123,0,123,0,123,43,52,0,123,43,52,227,146,142,141,0,123,0,123,0,123,0,123,19,22,66,74,46,57,20,22
1400000US36029000900,36029000900,"Census Tract 9, Erie County, New York",2358,299,2295,306,2219,316,38,64,0,123,27,44,0,123,0,123,11,16,0,123,11,16,63,100,63,100,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029001000,36029001000,"Census Tract 10, Erie County, New York",6242,666,5770,585,5316,516,39,44,63,68,62,74,0,123,0,123,290,243,0,123,290,243,472,257,264,143,14,22,16,26,0,123,0,123,83,94,95,128,0,123,95,128
1400000US36029001100,36029001100,"Census Tract 11, Erie County, New York",2673,302,2613,298,2488,298,103,89,13,19,0,123,0,123,0,123,9,14,0,123,9,14,60,59,35,35,25,44,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029001402,36029001402,"Census Tract 14.02, Erie County, New York",3786,407,3644,404,45,43,3527,390,0,123,0,123,0,123,0,123,72,64,27,42,45,44,142,98,75,102,24,41,0,123,0,123,0,123,43,54,0,123,0,123,0,123
1400000US36029001500,36029001500,"Census Tract 15, Erie County, New York",1321,316,1275,298,146,98,1105,284,11,26,0,123,0,123,0,123,13,23,0,123,13,23,46,63,37,57,9,28,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029001600,36029001600,"Census Tract 16, Erie County, New York",2129,383,2081,384,546,224,1205,269,0,123,163,116,0,123,0,123,167,162,12,18,155,154,48,47,12,20,12,20,0,123,0,123,0,123,24,38,0,123,0,123,0,123
1400000US36029001700,36029001700,"Census Tract 17, Erie County, New York",2047,353,1996,346,1437,259,484,277,0,123,0,123,0,123,0,123,75,57,0,123,75,57,51,81,0,123,0,123,0,123,0,123,0,123,51,81,0,123,0,123,0,123
1400000US36029001900,36029001900,"Census Tract 19, Erie County, New York",3014,350,2843,368,2790,369,53,83,0,123,0,123,0,123,0,123,0,123,0,123,0,123,171,130,122,116,0,123,0,123,0,123,0,123,49,58,0,123,0,123,0,123
1400000US36029002300,36029002300,"Census Tract 23, Erie County, New York",3522,471,3364,470,3014,513,218,137,0,123,0,123,0,123,0,123,132,121,0,123,132,121,158,107,112,92,27,43,0,123,0,123,0,123,7,13,12,19,12,19,0,123
1400000US36029002400,36029002400,"Census Tract 24, Erie County, New York",3826,627,3525,528,2812,453,597,278,30,34,0,123,0,123,0,123,86,100,0,123,86,100,301,266,156,175,0,123,0,123,0,123,0,123,121,191,24,27,24,27,0,123
1400000US36029002502,36029002502,"Census Tract 25.02, Erie County, New York",1765,332,1647,342,18,15,1578,349,0,123,2,15,0,123,0,123,49,44,0,123,49,44,118,121,35,61,0,123,0,123,0,123,0,123,52,96,31,36,18,30,13,20
1400000US36029002702,36029002702,"Census Tract 27.02, Erie County, New York",2712,573,2704,572,544,298,1507,409,36,50,452,329,0,123,0,123,165,190,58,93,107,170,8,12,8,12,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029002800,36029002800,"Census Tract 28, Erie County, New York",2490,509,2288,571,646,234,1534,583,0,123,63,101,0,123,0,123,45,51,20,33,25,41,202,194,0,123,76,92,0,123,0,123,0,123,126,165,0,123,0,123,0,123
1400000US36029002900,36029002900,"Census Tract 29, Erie County, New York",2725,522,2725,522,477,297,2113,517,0,123,31,48,0,123,0,123,104,118,0,123,104,118,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029003000,36029003000,"Census Tract 30, Erie County, New York",3001,433,2984,434,557,187,2392,430,0,123,0,123,0,123,0,123,35,34,0,123,35,34,17,27,17,27,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029003100,36029003100,"Census Tract 31, Erie County, New York",2721,490,2677,476,463,317,2147,453,47,77,0,123,0,123,0,123,20,33,0,123,20,33,44,52,10,17,0,123,0,123,0,123,0,123,0,123,34,42,11,17,23,39
1400000US36029003301,36029003301,"Census Tract 33.01, Erie County, New York",3863,402,3782,385,271,99,3359,390,0,123,0,123,0,123,120,190,32,35,0,123,32,35,81,126,0,123,0,123,0,123,0,123,0,123,81,126,0,123,0,123,0,123
1400000US36029003302,36029003302,"Census Tract 33.02, Erie County, New York",3055,490,3041,491,52,79,2799,393,9,14,173,275,0,123,0,123,8,15,0,123,8,15,14,22,0,123,0,123,0,123,0,123,0,123,0,123,14,22,14,22,0,123
1400000US36029003400,36029003400,"Census Tract 34, Erie County, New York",3065,536,2926,486,26,34,2900,476,0,123,0,123,0,123,0,123,0,123,0,123,0,123,139,152,16,29,83,95,0,123,0,123,0,123,6,15,34,58,0,123,34,58
1400000US36029003500,36029003500,"Census Tract 35, Erie County, New York",3320,418,3133,428,70,56,2865,372,0,123,11,18,0,123,70,111,117,93,0,123,117,93,187,127,0,123,161,119,0,123,0,123,0,123,26,34,0,123,0,123,0,123
1400000US36029003600,36029003600,"Census Tract 36, Erie County, New York",2441,401,2428,398,100,68,2193,369,99,153,0,123,0,123,0,123,36,34,0,123,36,34,13,17,0,123,5,10,0,123,0,123,0,123,8,13,0,123,0,123,0,123
1400000US36029003700,36029003700,"Census Tract 37, Erie County, New York",4412,432,4179,407,447,149,3712,442,11,17,0,123,0,123,0,123,9,15,0,123,9,15,233,163,153,138,57,65,0,123,0,123,0,123,23,34,0,123,0,123,0,123
1400000US36029003800,36029003800,"Census Tract 38, Erie County, New York",3091,467,2877,463,615,206,2141,461,0,123,0,123,0,123,27,44,94,84,0,123,94,84,214,206,106,164,19,28,0,123,0,123,0,123,89,121,0,123,0,123,0,123
1400000US36029003901,36029003901,"Census Tract 39.01, Erie County, New York",873,190,873,190,61,47,812,198,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029004001,36029004001,"Census Tract 40.01, Erie County, New York",4134,600,4134,600,778,299,3356,553,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029004100,36029004100,"Census Tract 41, Erie County, New York",4726,684,4710,677,337,149,4250,656,26,43,0,123,0,123,0,123,97,90,0,123,97,90,16,24,0,123,16,24,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029004200,36029004200,"Census Tract 42, Erie County, New York",3539,350,3506,358,241,219,3215,367,0,123,50,82,0,123,0,123,0,123,0,123,0,123,33,39,0,123,16,25,0,123,17,27,0,123,0,123,0,123,0,123,0,123
1400000US36029004300,36029004300,"Census Tract 43, Erie County, New York",5649,844,5436,869,980,283,4237,807,0,123,59,96,0,123,0,123,160,148,0,123,160,148,213,168,0,123,10,17,0,123,0,123,0,123,105,116,98,128,26,34,72,94
1400000US36029004401,36029004401,"Census Tract 44.01, Erie County, New York",3924,433,3763,449,252,121,3375,439,0,123,136,129,0,123,0,123,0,123,0,123,0,123,161,122,72,69,41,48,0,123,0,123,0,123,27,31,21,32,21,32,0,123
1400000US36029004402,36029004402,"Census Tract 44.02, Erie County, New York",2915,270,2836,268,70,72,2692,286,48,72,0,123,0,123,0,123,26,28,0,123,26,28,79,89,0,123,26,39,0,123,0,123,0,123,53,73,0,123,0,123,0,123
1400000US36029004500,36029004500,"Census Tract 45, Erie County, New York",5587,398,5360,443,3413,285,1610,362,31,43,228,197,0,123,13,20,65,66,0,123,65,66,227,170,188,157,0,123,0,123,0,123,0,123,39,46,0,123,0,123,0,123
1400000US36029004601,36029004601,"Census Tract 46.01, Erie County, New York",3484,447,3484,447,1776,282,513,192,0,123,985,460,0,123,0,123,210,144,0,123,210,144,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36029004602,36029004602,"Census Tract 46.02, Erie County, New York",1212,372,1130,346,643,253,161,90,0,123,326,135,0,123,0,123,0,123,0,123,0,123,82,49,29,32,12,20,0,123,0,123,0,123,41,46,0,123,0,123,0,123
1400000US36029004700,36029004700,"Census Tract 47, Erie County, New York",7462,766,7262,746,1799,469,4793,690,0,123,560,381,0,123,14,21,96,80,0,123,96,80,200,235,133,221,33,53,0,123,0,123,0,123,34,61,0,123,0,123,0,123
1400000US36029004800,36029004800,"Census Tract 48, Erie County, New York",4044,324,3900,327,3299,359,537,329,64,64,0,123,0,123,0,123,0,123,0,123,0,123,144,104,70,67,61,84,0,123,0,123,0,123,0,123,13,23,0,123,13,23
1400000US36029004900,36029004900,"Census Tract 49, Erie County, New York",6084,611,5533,541,4433,558,744,345,131,139,39,46,0,123,85,138,101,134,0,123,101,134,551,364,210,232,39,60,0,123,0,123,0,123,246,213,56,60,12,21,44,60
1400000US36029005000,36029005000,"Census Tract 50, Erie County, New York",2552,316,2237,299,1605,330,580,272,0,123,0,123,0,123,0,123,52,76,0,123,52,76,315,262,150,118,12,19,0,123,0,123,0,123,153,190,0,123,0,123,0,123
1400000US36029005100,36029005100,"Census Tract 51, Erie County, New York",3996,387,3683,347,3141,325,509,270,0,123,12,23,0,123,18,29,3,14,0,123,3,14,313,297,171,269,0,123,0,123,0,123,0,123,42,41,100,109,100,109,0,123
1400000US36029005201,36029005201,"Census Tract 52.01, Erie County, New York",3138,406,2997,395,2283,365,554,160,0,123,132,120,0,123,0,123,28,44,0,123,28,44,141,89,38,33,48,72,0,123,0,123,0,123,24,32,31,34,31,34,0,123
1400000US36029005202,36029005202,"Census Tract 52.02, Erie County, New York",2968,538,2929,528,959,382,1902,402,10,16,12,20,0,123,0,123,46,50,0,123,46,50,39,39,11,20,0,123,0,123,0,123,0,123,14,23,14,23,14,23,0,123
